Artist,Sixties,Seventies,Eighties,Nineties,Two_Thousands,Twenty_Tens,Total Hits,Songs,Gender,Genre
changing faces,0,0,0,2,0,0,2,"stroke you up, ghettout",female,
chante moore,0,0,0,1,0,0,1,chantes got a man,,
charlene,0,0,1,0,0,0,1,ive never been to me,female,American_female_country_singers
charles  eddie,0,0,0,1,0,0,1,would i lie to you,male,
charles wright  the watts 103rd street rhythm band,0,2,0,0,0,0,2,"love land, express yourself",,
charley pride,0,1,0,0,0,0,1,kiss an angel good mornin,male,American_country_singers
charli xcx,0,0,0,0,0,1,1,boom clap,female,English_female_pop_singers
charlie daniels band,0,0,1,0,0,0,1,in america,,
charlie dore,0,0,1,0,0,0,1,pilot of the airwaves,female,English_female_singers
charlie puth,0,0,0,0,0,1,1,marvin gaye,male,American_male_singer-songwriters
charlie rich,0,3,0,0,0,0,3,"behind closed doors, the most beautiful girl, a very special love song",male,American_country_singers
cheap trick,0,1,2,0,0,0,3,"i want you to want me, the flame, dont be cruel",,
checkmates ltd,1,0,0,0,0,0,1,black pearl,,
cher,2,5,2,2,0,0,11,"all i really want to do, bang bang my baby shot me down, gypsys tramps  thieves, the way of love, halfbreed, dark lady, take me home, i found someone, if i could turn back time, just like jesse james, believe",female,American_female_pop_singers
cher and peter cetera,0,0,1,0,0,0,1,after all,male,
cher lloyd,0,0,0,0,0,1,1,want u back,female,English_female_rappers
cherish,0,0,0,0,1,0,1,do it to it,female,
cheryl lynn,0,1,0,0,0,0,1,got to be real,female,African-American_female_singers
chesney hawkes,0,0,0,1,0,0,1,the one and only,male,English_male_singers
chic,0,4,0,0,0,0,4,"dance dance dance yowsah yowsah yowsah, le freak, good times, i want your love",,
chicago,0,8,6,1,0,0,15,"make me smile, 25 or 6 to 4, beginningscolour my world, saturday in the park, feelin stronger every day, ive been searchin so long, call on me, if you leave me now, hard to say im sorry, hard habit to break, youre the inspiration, will you still love me, i dont wanna live without your love, look away, what kind of man would i be",,
chingy,0,0,0,0,5,0,5,"right thurr, holidae in, one call away, holidae in, pullin me back",male,African-American_male_rappers
chris brown,0,0,0,0,9,8,17,"run it, run it, yo excuse me miss, gimme that, say goodbye, kiss kiss, with you, forever, kiss kiss, deuces, look at me now, yeah 3x, she aint you, dont wake me up, turn up the music, loyal, new flame",male,African-American_male_rappers
chris brown and tyga,0,0,0,0,0,1,1,ayo,,
chris de burgh,0,0,1,0,0,0,1,the lady in red,male,British_male_singers
chris isaak,0,0,0,1,0,0,1,wicked game,male,American_male_guitarists
chris montez,1,0,0,0,0,0,1,the more i see you,male,American_male_singers
chris rea,0,1,0,0,0,0,1,fool if you think its over,male,English_male_singers
christie,0,1,0,0,0,0,1,yellow river,,
christina aguilera,0,0,0,1,7,0,8,"genie in a bottle, what a girl wants, come on over baby all i want is you, i turn to you, beautiful, cant hold us down, fighter, aint no other man",female,American_female_pop_singers
christina aguilera lil kim m'ya and pink,0,0,0,0,1,0,1,lady marmalade,female,
christina milian,0,0,0,0,1,0,1,dip it low,female,American_female_pop_singers
christina perri,0,0,0,0,0,2,2,"jar of hearts, a thousand years",female,American_female_singer-songwriters
christine mcvie,0,0,1,0,0,0,1,got a hold on me,female,English_female_singers
christopher cross,0,0,6,0,0,0,6,"ride like the wind, sailing, arthurs theme best that you can do, arthurs theme best that you can do, all right, think of laura",male,American_male_singer-songwriters
chuck berry,0,1,0,0,0,0,1,my dingaling,male,American_male_guitarists
chuck mangione,0,1,0,0,0,0,1,feels so good,,
chumbawamba,0,0,0,2,0,0,2,"tubthumping, tubthumping",,
ciara,0,0,0,0,5,1,6,"goodies, oh, get up, like a boy, promise, body party",female,African-American_female_singers
ciara and missy elliott,0,0,0,0,1,0,1,1 2 step,,
citizen king,0,0,0,1,0,0,1,better days and the bottom drops out,male,
city high,0,0,0,0,2,0,2,"what would you do, caramel",both,
cj  company,0,1,0,0,0,0,1,devils gun,,
clarence carter,1,1,0,0,0,0,2,"slip away, patches",,
classics iv,2,0,0,0,0,0,2,"spooky, traces",,
clay aiken,0,0,0,0,1,0,1,this is the night,male,American_male_pop_singers
clean bandit,0,0,0,0,0,1,1,rather be,,
cliff nobles,1,0,0,0,0,0,1,the horse,male,American_male_singers
cliff richard,0,1,2,0,0,0,3,"devil woman, we dont talk anymore, a little in love",male,English_male_singers
climax,0,1,0,0,0,0,1,precious and few,,
climax blues band,0,1,1,0,0,0,2,"couldnt get it right, i love you",male,
clint holmes,0,1,0,0,0,0,1,playground in my mind,,
club nouveau,0,0,1,0,0,0,1,lean on me,both,
cobra starship,0,0,0,0,1,1,2,"good girls go bad, you make me feel",,
colbie caillat,0,0,0,0,4,0,4,"bubbly, bubbly, realize, fallin for you",female,American_female_guitarists
colby odonis,0,0,0,0,1,0,1,what you got,male,
coldplay,0,0,0,0,4,2,6,"clocks, speed of sound, viva la vida, viva la vida, paradise, a sky full of stars",,
collective soul,0,0,0,3,0,0,3,"shine, december, the world i know",,
color me badd,0,0,0,6,0,0,6,"i wanna sex you up, i adore mi amor, all 4 love, slow motion, thinkin back, the earth the sun the rain",,
commander cody and his lost planet airmen,0,1,0,0,0,0,1,hot rod lincoln,,
commodores,0,4,4,0,0,0,8,"sweet love, easy, three times a lady, sail on, still, lady you bring me up, oh no, nightshift",,
coolio,0,0,0,5,0,0,5,"fantastic voyage, gangstas paradise, gangstas paradise, 1 2 3 4 sumpin new, c u when u get there",male,African-American_male_rappers
corey hart,0,0,2,0,0,0,2,"sunglasses at night, never surrender",male,Canadian_male_singers
corina,0,0,0,1,0,0,1,temptation,female,American_female_singers
cornelius brothers  sister rose,0,2,0,0,0,0,2,"treat her like a lady, too late to turn back now",,
corona,0,0,0,1,0,0,1,the rhythm of the night,,
count five,1,0,0,0,0,0,1,psychotic reaction,,
craig david,0,0,0,0,2,0,2,"fill me in, 7 days",male,English_male_singer-songwriters
craig mack,0,0,0,1,0,0,1,flava in ya ear,male,African-American_male_rappers
crash test dummies,0,0,0,1,0,0,1,mmm mmm mmm mmm,male,
crazy elephant,1,0,0,0,0,0,1,gimme gimme good lovin,,
crazy town,0,0,0,0,1,0,1,butterfly,,
cream,2,0,0,0,0,0,2,"sunshine of your love, white room",,
creed,0,0,0,1,5,0,6,"one, higher, with arms wide open, with arms wide open, my sacrifice, one last breath",,
creedence clearwater revival,4,3,0,0,0,0,7,"suzie q, proud mary, bad moon rising, green river, lookin out my back door, up around the bend, travelin band",,
crime mob and lil scrappy,0,0,0,0,1,0,1,rock yo hips,,
crispian st peters,1,0,0,0,0,0,1,the pied piper,male,
crosby stills  nash,0,1,1,0,0,0,2,"just a song before i go, wasted on the way",,
crosby stills nash  young,0,1,0,0,0,0,1,woodstock,male,
crowded house,0,0,2,0,0,0,2,"dont dream its over, something so strong",,
crucial conflict,0,0,0,1,0,0,1,hay,,
crystal gayle,0,1,0,0,0,0,1,dont it make my brown eyes blue,female,American_female_country_singers
crystal waters,0,0,0,2,0,0,2,"100 pure love, 100 pure love",female,American_female_singer-songwriters
culture beat,0,0,0,1,0,0,1,mr vain,,
culture club,0,0,6,0,0,0,6,"do you really want to hurt me, time clock of the heart, ill tumble 4 ya, karma chameleon, miss me blind, church of the poison mind",,
curtis mayfield,0,2,0,0,0,0,2,"freddies dead, superfly",male,American_male_guitarists
cutting crew,0,0,2,0,0,0,2,"i just died in your arms, ive been in love before",,
cyndi lauper,0,0,6,0,0,0,6,"girls just want to have fun, time after time, she bop, all through the night, true colors, change of heart",female,American_female_country_singers
cypress hill,0,0,0,1,0,0,1,insane in the brain,male,
d mob,0,0,0,1,0,0,1,cmon and get my love,,
d12,0,0,0,0,1,0,1,my band,,
d4l,0,0,0,0,1,0,1,laffy taffy,,
da brat,0,0,0,2,1,0,3,"funkdafied, give it 2 you, whatchu like",,
daddy dewdrop,0,1,0,0,0,0,1,chickaboom dont ya jes love it,male,
daddy yankee,0,0,0,0,1,0,1,rompe,,
daft punk,0,0,0,0,0,1,1,get lucky,,
damn yankees,0,0,0,1,0,0,1,high enough,,
dan fogelberg,0,0,3,0,0,0,3,"longer, same old lang syne, leader of the band",male,American_country_singers
dan hartman,0,0,1,0,0,0,1,i can dream about you,male,American_male_singers
dan hill,0,1,1,0,0,0,2,"sometimes when we touch, cant we try",male,Canadian_male_singers
dangelo,0,0,0,2,0,0,2,"brown sugar, lady",,
daniel bedingfield,0,0,0,0,2,0,2,"gotta get thru this, if youre not the one",male,British_male_singers
daniel boone,0,1,0,0,0,0,1,beautiful sunday,male,English_male_singers
daniel powter,0,0,0,0,1,0,1,bad day,male,Canadian_male_singers
danity kane,0,0,0,0,2,0,2,"show stopper, damaged",,
darius rucker,0,0,0,0,0,1,1,wagon wheel,male,American_country_singers
darryl worley,0,0,0,0,1,0,1,have you forgotten,male,American_country_singers
daryl hall,0,0,1,0,0,0,1,dreamtime,male,American_male_singers
daryl hall  john oates,0,0,11,0,0,0,11,"i cant go for that no can do, private eyes, did it in a minute, maneater, one on one, family man, say it isnt so, adult education, out of touch, method of modern love, everything your heart desires",,
das efx,0,0,0,1,0,0,1,they want efx,,
daughtry,0,0,0,0,4,1,5,"its not over, home, feels like tonight, no surprise, life after you",male,
dave edmunds,0,1,0,0,0,0,1,i hear you knocking,male,Welsh_male_singers
dave loggins,0,1,0,0,0,0,1,please come to boston,male,
dave matthews band,0,0,0,0,1,0,1,the space between,male,
david archuleta,0,0,0,0,1,0,1,crush,male,American_male_pop_singers
david banner,0,0,0,0,2,0,2,"play, get like me",male,African-American_male_rappers
david bowie,0,3,2,0,0,0,5,"space oddity, fame, golden years, lets dance, china girl",male,English_male_singer-songwriters
david cook,0,0,0,0,1,0,1,the time of my life,male,American_male_guitarists
david essex,0,1,0,0,0,0,1,rock on,male,English_male_singers
david gates,0,1,0,0,0,0,1,goodbye girl,male,American_country_singers
david guetta,0,0,0,0,0,7,7,"sexy bitch, without you, where them girls at, titanium, turn me on, without you, hey mama",,
david houston,1,0,0,0,0,0,1,almost persuaded,male,American_country_singers
david lee roth,0,0,2,0,0,0,2,"california girls, just like paradise",male,American_male_singers
david naughton,0,1,0,0,0,0,1,makin it,male,
david ruffin,1,1,0,0,0,0,2,"my whole world ended the moment you left me, walk away from love",male,African-American_male_singers
david soul,0,1,0,0,0,0,1,dont give up on us,male,American_male_singers
dawn,0,1,0,0,0,0,1,candida,,
dazz band,0,0,1,0,0,0,1,let it whip,,
dean friedman,0,1,0,0,0,0,1,ariel,male,American_male_guitarists
debarge,0,0,4,0,0,0,4,"all this love, time will reveal, rhythm of the night, whos holding donna now",,
debbie gibson,0,0,5,0,0,0,5,"only in my dreams, shake your love, foolish beat, out of the blue, lost in your eyes",female,American_female_singer-songwriters
debby boone,0,1,0,0,0,0,1,you light up my life,female,American_female_country_singers
debelah morgan,0,0,0,0,2,0,2,"dance with me, dance with me",female,American_female_singer-songwriters
deborah cox,0,0,0,3,0,0,3,"who do u love, nobodys supposed to be here, nobodys supposed to be here",female,Canadian_female_pop_singers
deeelite,0,0,0,1,0,0,1,groove is in the heart,both,
deep blue something,0,0,0,1,0,0,1,breakfast at tiffanys,,
deep purple,0,1,0,0,0,0,1,smoke on the water,,
def leppard,0,0,4,3,0,0,7,"photograph, pour some sugar on me, love bites, armageddon it, have you ever needed someone so bad, lets get rocked, two steps behind",,
default,0,0,0,0,1,0,1,wasting my time,male,
del amitri,0,0,0,1,0,0,1,roll to me,,
del shannon,1,0,0,0,0,0,1,keep searchin well follow the sun,,
delaney  bonnie  friends,0,1,0,0,0,0,1,never ending song of love,,
delbert mcclinton,0,0,1,0,0,0,1,giving it up for your love,male,American_country_singers
dem franchize boyz,0,0,0,0,2,0,2,"lean wit it rock wit it, i think they like me",,
demi lovato,0,0,0,0,0,3,3,"give your heart a break, heart attack, cool for the summer",female,American_female_pop_singers
deniece williams,0,0,2,0,0,0,2,"its gonna take a miracle, lets hear it for the boy",female,American_female_singers
denise lasalle,0,1,0,0,0,0,1,trapped by a thing called love,female,American_female_singers
dennis coffey,0,1,0,0,0,0,1,scorpio,male,American_male_guitarists
deodato,0,1,0,0,0,0,1,also sprach zarathustra 2001,male,
deon estus,0,0,1,0,0,0,1,heaven help me,male,American_male_guitarists
deon jackson,1,0,0,0,0,0,1,love makes the world go round,,
depeche mode,0,0,0,1,0,0,1,enjoy the silence,male,
derek and the dominos,0,1,0,0,0,0,1,layla,,
desree,0,0,0,1,0,0,1,you gotta be,female,
destinys child,0,0,0,2,10,0,12,"no no no, bills bills bills, say my name, jumpin jumpin, independent women, independent women, survivor, bootylicious, lose my breath, soldier, cater 2 u, lose my breath",female,
dev,0,0,0,0,0,1,1,in the dark,female,American_female_singer-songwriters
devo,0,0,1,0,0,0,1,whip it,male,
dexys midnight runners,0,0,1,0,0,0,1,come on eileen,,
dht,0,0,0,0,1,0,1,listen to your heart,,
diamond rio,0,0,0,0,1,0,1,one more day,,
diana king,0,0,0,1,0,0,1,shy guy,,
diana ross,0,5,6,0,0,0,11,"aint no mountain high enough, touch me in the morning, love hangover, theme from mahogany do you know where youre going to, the boss, upside down, its my turn, im coming out, why do fools fall in love, mirror mirror, missing you",female,African-American_female_singers
diana ross  lionel richie,0,0,1,0,0,0,1,endless love,both,
diana ross  marvin gaye,0,1,0,0,0,0,1,my mistake was to love you,,
dickey lee,1,0,0,0,0,0,1,laurie strange things happen,male,American_country_singers
diddy,0,0,0,0,1,0,1,last night,,
diddy  dirty money,0,0,0,0,0,1,1,coming home,,
dido,0,0,0,0,2,0,2,"thank you, white flag",female,British_female_singers
dierks bentley,0,0,0,0,1,1,2,"what was i thinkin, drunk on a plane",male,American_country_singers
digable planets,0,0,0,1,0,0,1,rebirth of slick cool like dat,,
digital underground,0,0,0,1,0,0,1,the humpty dance,male,
dino,0,0,1,2,0,0,3,"i like it, romeo, ooh child",male,American_male_singers
dino desi  billy,1,0,0,0,0,0,1,im a fool,,
dionne and friends dionne warwick gladys knight elton john and stevie wonder,0,0,1,0,0,0,1,thats what friends are for,,
dionne farris,0,0,0,1,0,0,1,i know,female,African-American_female_singers
dionne warwick,5,2,2,0,0,0,9,"message to michael, alfie, theme from valley of the dolls, do you know the way to san jose, this girls in love with you, ill never fall in love again, ill never love this way again, dej`a vu, heartbreaker",female,African-American_female_singers
dionne warwick  the spinners,0,1,0,0,0,0,1,then came you,,
dire straits,0,1,2,0,0,0,3,"sultans of swing, money for nothing, walk of life",,
dirty vegas,0,0,0,0,1,0,1,days go by,,
disclosure,0,0,0,0,0,1,1,latch,,
discotex and the sexolettes,0,1,0,0,0,0,1,get dancin,,
dishwalla,0,0,0,1,0,0,1,counting blue cars,,
divine,0,0,0,2,0,0,2,"lately, lately",male,American_male_pop_singers
divinyls,0,0,0,1,0,0,1,i touch myself,,
dixie chicks,0,0,0,0,3,0,3,"cowboy take me away, long time gone, landslide",,
dj jazzy jeff  the fresh prince,0,0,0,2,0,0,2,"summertime, boom shake the room",,
dj khaled,0,0,0,0,0,2,2,"all i do is win, im on one",,
dj kool,0,0,0,1,0,0,1,let me clear my throat,male,
dj sammy,0,0,0,0,1,0,1,heaven,,
dj snake and alunageorge,0,0,0,0,0,1,1,you know you like it,male,
dj snake and lil jon,0,0,0,0,0,1,1,turn down for what,,
dmx,0,0,0,0,1,0,1,party up up in here,male,African-American_male_rappers
dna,0,0,0,1,0,0,1,toms diner,male,
do or die,0,0,0,1,0,0,1,po pimp,,
dobie gray,0,1,0,0,0,0,1,drift away,male,African-American_male_singers
dolly parton,0,1,1,0,0,0,2,"here you come again, 9 to 5",female,American_female_country_singers
domino,0,0,0,1,0,0,1,getto jam,male,African-American_male_rappers
don henley,0,0,4,0,0,0,4,"dirty laundry, the boys of summer, all she wants to do is dance, the end of the innocence",male,American_country_singers
don mclean,0,2,1,0,0,0,3,"american pie, vincent, crying",male,American_male_guitarists
donell jones,0,0,0,0,2,0,2,"u know whats up, where i wanna be",male,American_male_guitarists
donna fargo,0,2,0,0,0,0,2,"the happiest girl in the whole usa, funny face",female,American_female_country_singers
donna lewis,0,0,0,2,0,0,2,"i love you always forever, i love you always forever",female,British_female_singers
donna summer,0,5,5,0,0,0,10,"love to love you baby, last dance, bad girls, hot stuff, macarthur park, on the radio, dim all the lights, love is in control finger on the trigger, she works hard for the money, this time i know its for real",female,African-American_female_singers
donna summer and brooklyn dreams,0,1,0,0,0,0,1,heaven knows,both,
donny  marie osmond,0,2,0,0,0,0,2,"morning side of the mountain, deep purple",,
donny and marie osmond,0,1,0,0,0,0,1,im leaving it up to you,,
donny osmond,0,4,1,0,0,0,5,"go away little girl, sweet and innocent, puppy love, the twelfth of never, soldier of love",male,American_country_singers
donovan,3,0,0,0,0,0,3,"sunshine superman, hurdy gurdy man, atlantis",male,Scottish_male_singers
dorothy moore,0,1,0,0,0,0,1,misty blue,female,American_female_singers
dottie west  kenny rogers,0,0,1,0,0,0,1,what are we doin in love,,
dr buzzards original savannah band,0,1,0,0,0,0,1,cherchez la femme,both,
dr dre,0,0,0,3,2,1,6,"nuthin but a g thang, dre day, keep their heads ringin, forgot about dre, the next episode, i need a doctor",,
dr hook,0,3,2,0,0,0,5,"only sixteen, a little bit more, when youre in love with a beautiful woman, sexy eyes, better love next time",,
dr hook  the medicine show,0,3,0,0,0,0,3,"sylvias mother, the cover of the rolling stone, sharing the night together",,
dr john,0,1,0,0,0,0,1,right place wrong time,male,
drake,0,0,0,0,2,12,14,"best i ever had, forever, find your love, over, forever, headlines, the motto, take care, started from the bottom, hold on were going home, hold on were going home, 0 to 100  the catch up, hotline bling, back to back",male,Canadian_male_singers
dream,0,0,0,0,1,0,1,he loves u not,,
dream academy,0,0,1,0,0,0,1,life in a northern town,,
drs,0,0,0,1,0,0,1,gangsta lean,,
dru hill,0,0,0,5,0,0,5,"in my bed, never make a promise, were not making love no more, how deep is your love, these are the times",,
duice,0,0,0,1,0,0,1,dazzey duks,,
duncan sheik,0,0,0,1,0,0,1,barely breathing,male,American_male_singer-songwriters
duran duran,0,0,9,2,0,0,11,"hungry like the wolf, is there something i should know, the reflex, union of the snake, new moon on monday, a view to a kill, the wild boys, notorious, i dont want your love, ordinary world, come undone",,
dusty springfield,1,0,0,0,0,0,1,you dont have to say you love me,female,English_female_pop_singers
dwight twilley band,0,1,0,0,0,0,1,im on fire,,
e40,0,0,0,0,1,0,1,u and dat,male,
eagleeye cherry,0,0,0,1,0,0,1,save tonight,male,
eagles,0,5,3,0,0,0,8,"one of these nights, best of my love, take it to the limit, hotel california, new kid in town, heartache tonight, i cant tell you why, the long run",,
eamon,0,0,0,0,1,0,1,fuck it i dont want you back,male,American_male_singers
earth wind  fire,0,7,2,0,0,0,9,"shining star, thats the way of the world, sing a song, getaway, serpentine fire, after the love has gone, september, lets groove, fall in love with me",,
earth wind  fire  the emotions,0,1,0,0,0,0,1,boogie wonderland,,
echosmith,0,0,0,0,0,1,1,cool kids,both,
ed ames,1,0,0,0,0,0,1,my cup runneth over,male,American_male_singers
ed sheeran,0,0,0,0,0,6,6,"the a team, dont, sing, thinking out loud, photograph, dont",male,English_male_singers
eddie holman,0,1,0,0,0,0,1,hey there lonely girl,male,American_male_singers
eddie kendricks,0,3,0,0,0,0,3,"keep on truckin, boogie down, shoeshine boy",male,African-American_male_singers
eddie money,0,1,3,0,0,0,4,"baby hold on, think im in love, take me home tonight, walk on water",male,American_male_guitarists
eddie murphy,0,0,1,0,0,0,1,party all the time,male,African-American_male_singers
eddie rabbitt,0,1,3,0,0,0,4,"suspicions, drivin my life away, i love a rainy night, step by step",male,American_country_singers
eddie rabbitt and crystal gayle,0,0,1,0,0,0,1,you and i,,
eddy grant,0,0,1,0,0,0,1,electric avenue,male,British_male_singers
edens crush,0,0,0,0,1,0,1,get over yourself,,
edgar winter group,0,2,0,0,0,0,2,"frankenstein, free ride",male,
edie brickell  new bohemians,0,0,1,0,0,0,1,what i am,,
edison lighthouse,0,1,0,0,0,0,1,love grows where my rosemary goes,,
edward bear,0,1,0,0,0,0,1,last song,,
edward maya,0,0,0,0,0,1,1,stereo love,,
edwin hawkins singers,1,0,0,0,0,0,1,oh happy day,,
edwin mccain,0,0,0,1,0,0,1,ill be,male,American_male_guitarists
edwin starr,1,1,0,0,0,0,2,"twentyfive miles, war",,
eiffel 65,0,0,0,0,1,0,1,blue da ba dee,,
el debarge,0,0,1,0,0,0,1,whos johnny,male,American_male_singers
electric light orchestra,0,8,1,0,0,0,9,"cant get it out of my head, evil woman, telephone line, livin thing, sweet talkin woman, turn to stone, shine a little love, dont bring me down, hold on tight",,
eli young band,0,0,0,0,0,2,2,"crazy girl, even if it breaks your heart",,
ella henderson,0,0,0,0,0,1,1,ghost,female,British_female_singers
elle king,0,0,0,0,0,1,1,exs  ohs,female,American_female_singers
ellie goulding,0,0,0,0,0,3,3,"lights, burn, love me like you do",,
elliott yamin,0,0,0,0,1,0,1,wait for you,male,American_male_singers
elton john,0,12,9,5,0,0,26,"rocket man, crocodile rock, daniel, bennie and the jets, goodbye yellow brick road, dont let the sun go down on me, philadelphia freedom, lucy in the sky with diamonds, someone saved my life tonight, island girl, sorry seems to be the hardest word, mama cant buy you love, little jeannie, blue eyes, empty garden hey hey johnny, im still standing, i guess thats why they call it the blues, sad songs say so much, nikita, i dont wanna go on with you like that, candle in the wind, the one, can you feel the love tonight, believe, something about the way you look tonight  candle in the wind 1997, candle in the wind 1997",male,English_male_composers
elton john  kiki dee,0,1,0,0,0,0,1,dont go breaking my heart,,
elvin bishop,0,1,0,0,0,0,1,fooled around and fell in love,male,American_male_guitarists
elvis presley,3,3,0,0,0,0,6,"crying in the chapel, suspicious minds, in the ghetto, the wonder of you, burning love, way down",male,American_country_singers
emeli sande,0,0,0,0,0,1,1,next to me,,
emf,0,0,0,1,0,0,1,unbelievable,male,
eminem,0,0,0,0,11,4,15,"the real slim shady, without me, cleanin out my closet, lose yourself, lose yourself, sing for the moment, superman, just lose it, mockingbird, shake that, when im gone, love the way you lie, not afraid, berzerk, the monster",male,American_male_rappers
eminem dr dre and 50 cent,0,0,0,0,1,0,1,crack a bottle,,
en vogue,0,0,0,6,0,0,6,"hold on, my lovin youre never gonna get it, giving him something he can feel, free your mind, give it up turn it loose, dont let go love",,
engelbert humperdinck,1,1,0,0,0,0,2,"release me, after the lovin",male,English_male_singers
england dan  john ford coley,0,2,0,0,0,0,2,"id really love to see you tonight, love is the answer",,
enigma,0,0,0,2,0,0,2,"sadeness part i, return to innocence",male,
enrique iglesias,0,0,0,1,4,3,8,"bailamos, be with you, hero, hero, escape, i like it, tonight im lovin you, bailando",male,
enya,0,0,0,0,1,0,1,only time,female,Irish_female_singers
erasure,0,0,0,1,0,0,1,always,,
eric benet,0,0,0,1,0,0,1,spend my life with you,,
eric burdon  war,0,1,0,0,0,0,1,spill the wine,,
eric carmen,0,1,2,0,0,0,3,"all by myself, hungry eyes, make me lose control",male,American_male_guitarists
eric church,0,0,0,0,0,1,1,springsteen,male,American_country_singers
eric clapton,0,3,2,3,0,0,8,"i shot the sheriff, lay down sally, promises, i cant stand it, ive got a rock n roll heart, tears in heaven, change the world, change the world",male,English_male_singers
eric weissberg  steve mandell,0,1,0,0,0,0,1,dueling banjos,,
erick sermon,0,0,0,0,1,0,1,music,male,African-American_male_rappers
eruption,0,1,0,0,0,0,1,i cant stand the rain,,
erykah badu,0,0,0,1,2,0,3,"on  on, bag lady, love of my life an ode to hiphop",female,African-American_female_singer-songwriters
estelle,0,0,0,0,1,0,1,american boy,female,English_female_rappers
eternal,0,0,0,1,0,0,1,stay,,
europe,0,0,1,0,0,0,1,carrie,,
eurythmics,0,0,3,0,0,0,3,"sweet dreams are made of this, here comes the rain again, would i lie to you",,
evan and jaron,0,0,0,0,1,0,1,crazy for this girl,,
evanescence,0,0,0,0,3,0,3,"bring me to life, my immortal, call me when youre sober",,
eve,0,0,0,0,2,0,2,"let me blow ya mind, gangsta lovin",female,Female_hip_hop_musicians
eve 6,0,0,0,0,1,0,1,heres to the night,,
evelyn champagne king,0,1,0,0,0,0,1,shame,,
everclear,0,0,0,0,1,0,1,wonderful,,
everlast,0,0,0,1,0,0,1,what its like,male,American_male_rappers
every mothers son,1,0,0,0,0,0,1,come on down to my boat,,
everything but the girl,0,0,0,1,0,0,1,missing,,
exile,0,1,0,0,0,0,1,kiss you all over,male,American_male_rappers
expose,0,0,5,1,0,0,6,"come go with me, let me be the one, point of no return, seasons change, what you dont know, ill never get over you getting over me",,
extreme,0,0,0,2,0,0,2,"more than words, hole hearted",,
fabolous,0,0,0,0,4,0,4,"into you, cant let you go, make me better, throw it in the bag",male,African-American_male_rappers
faith evans,0,0,0,4,1,0,5,"you used to love me, soon as i get home, love like this, all night long, i love you",female,African-American_female_singer-songwriters
faith hill,0,0,0,1,5,0,6,"this kiss, breathe, the way you love me, the way you love me, there youll be, mississippi girl",female,American_female_country_singers
faith no more,0,0,0,1,0,0,1,epic,,
falco,0,0,1,0,0,0,1,rock me amadeus,,
fall out boy,0,0,0,0,5,3,8,"sugar were goin down, dance dance, sugar were goin down, this aint a scene its an arms race, thnks fr th mmrs, my songs know what you did in the dark light em up, centuries, uma thurman",male,
fancy,0,1,0,0,0,0,1,wild thing,,
fantasia,0,0,0,0,1,0,1,truth is,,
far east movement,0,0,0,0,0,3,3,"like a g6, rocketeer, like a g6",,
fastball,0,0,0,1,0,0,1,out of my head,male,
fat joe,0,0,0,0,4,0,4,"whats luv, we thuggin, get it poppin, make it rain",,
fergie,0,0,0,0,6,0,6,"london bridge, big girls dont cry, glamorous, fergalicious, clumsy, big girls dont cry",female,American_female_singer-songwriters
fetty wap,0,0,0,0,0,3,3,"trap queen, 679, my way",male,African-American_male_rappers
field mob,0,0,0,0,2,0,2,"sick of being lonely, so what",,
fifth harmony,0,0,0,0,0,1,1,worth it,female,
filter,0,0,0,0,1,0,1,take a picture,male,
fine young cannibals,0,0,2,0,0,0,2,"she drives me crazy, good thing",male,
finger eleven,0,0,0,0,3,0,3,"one thing, paralyzer, paralyzer",,
firefall,0,1,0,0,0,0,1,strange way,,
firehouse,0,0,0,3,0,0,3,"love of a lifetime, when i look into your eyes, i live my life for you",,
five,0,0,0,1,0,0,1,when the lights go out,male,
five americans,1,0,0,0,0,0,1,western union,male,
five for fighting,0,0,0,0,2,0,2,"superman its not easy, 100 years",male,American_male_singers
five man electrical band,0,1,0,0,0,0,1,signs,male,
five stairsteps,0,1,0,0,0,0,1,ooh child,,
fleetwood mac,0,5,5,0,0,0,10,"say you love me, rhiannon, dreams, dont stop, go your own way, sara, tusk, hold me, little lies, big love",both,
flo rida,0,0,0,0,4,6,10,"low, in the ayer, right round, sugar, club cant handle me, wild ones, good feeling, whistle, i cry, gdfr",male,African-American_male_rappers
floetry,0,0,0,0,1,0,1,say yes,,
florida georgia line,0,0,0,0,0,4,4,"cruise, get your shine on, this is how we roll, dirt",,
focus,0,1,0,0,0,0,1,hocus pocus,,
foghat,0,1,0,0,0,0,1,slow ride,,
foo fighters,0,0,0,0,1,0,1,best of you,,
force mds,0,0,1,0,0,0,1,tender love,,
foreigner,0,4,5,0,0,0,9,"feels like the first time, cold as ice, hot blooded, double vision, urgent, waiting for a girl like you, i want to know what love is, say you will, i dont want to live without you",,
fort minor,0,0,0,0,1,0,1,whered you go,,
foster the people,0,0,0,0,0,1,1,pumped up kicks,,
four tops,3,0,0,0,0,0,3,"i cant help myself sugar pie honey bunch, its the same old song, bernadette",,
foxy,0,1,0,0,0,0,1,get off,,
foxy brown,0,0,0,1,0,0,1,ill be,,
frank  nancy sinatra,1,0,0,0,0,0,1,somethin stupid,both,
frank mills,0,1,0,0,0,0,1,music box dancer,,
frank sinatra,1,0,0,0,0,0,1,strangers in the night,male,American_crooners
frank stallone,0,0,1,0,0,0,1,far from over,male,American_male_singers
