,1960,1970,1980,1990,2000,2010,
duncan sheik,0,0,0,1,0,0,barely breathing
nicki french,0,0,0,1,0,0,total eclipse of the heart
david guetta featuring akon,0,0,0,0,0,1,sexy bitch
dr hook,0,3,2,0,0,0,"only sixteen, a little bit more, when youre in love with a beautiful woman, sexy eyes, better love next time"
no doubt featuring bounty killer,0,0,0,0,1,0,hey baby
fantasia,0,0,0,0,1,0,truth is
the free movement,0,1,0,0,0,0,ive found someone of my own
kid cudi,0,0,0,0,1,0,day n nite
phillip phillips,0,0,0,0,0,3,"home, home, gone gone gone"
shadows of knight,1,0,0,0,0,0,gloria
ludacris featuring mary j blige,0,0,0,0,1,0,runaway love
50 cent featuring nate dogg,0,0,0,0,1,0,21 questions
sting,0,0,3,3,0,0,"if you love somebody set them free, fortress around your heart, well be together, all this time, fields of gold, if i ever lose my faith in you"
paperboy,0,0,0,1,0,0,ditty
changing faces,0,0,0,2,0,0,"stroke you up, ghettout"
chingy featuring ludacris and snoop dogg,0,0,0,0,2,0,"holidae in, holidae in"
andrea true connection,0,1,0,0,0,0,more more more
electric light orchestra,0,8,1,0,0,0,"cant get it out of my head, evil woman, telephone line, livin thing, sweet talkin woman, turn to stone, shine a little love, dont bring me down, hold on tight"
william featuring justin bieber,0,0,0,0,0,1,thatpower
dionne farris,0,0,0,1,0,0,i know
icona pop featuring charli xcx,0,0,0,0,0,1,i love it
the game featuring 50 cent,0,0,0,0,2,0,"how we do, hate it or love it"
gary us bonds,0,0,1,0,0,0,this little girl
buckner  garcia,0,0,1,0,0,0,pacman fever
lynn anderson,0,1,0,0,0,0,rose garden
jennifer paige,0,0,0,1,0,0,crush
aloe blacc,0,0,0,0,0,1,the man
fat joe featuring nelly,0,0,0,0,1,0,get it poppin
peter paul and mary,1,0,0,0,0,0,i dig rock and roll music
sylvia,0,1,0,0,0,0,pillow talk
dr dre featuring eminem and skylar grey,0,0,0,0,0,1,i need a doctor
beyonce featuring slim thug,0,0,0,0,1,0,check on it
outkast,0,0,0,1,4,0,"elevators me  you, ms jackson, so fresh so clean, hey ya, roses"
manfred manns earth band,0,1,0,0,0,0,blinded by the light
lil jon featuring usher and ludacris,0,0,0,0,1,0,lovers  friends
diddy  dirty money featuring skylar grey,0,0,0,0,0,1,coming home
kylie minogue,0,0,1,0,1,0,"the locomotion, cant get you out of my head"
tommy james and the shondells,6,0,0,0,0,0,"hanky panky, i think were alone now, mirage, mony mony, crimson and clover, crystal blue persuasion"
fall out boy,0,0,0,0,5,3,"sugar were goin down, dance dance, sugar were goin down, this aint a scene its an arms race, thnks fr th mmrs, my songs know what you did in the dark light em up, centuries, uma thurman"
craig david,0,0,0,0,2,0,"fill me in, 7 days"
the jacksons,0,2,1,0,0,0,"enjoy yourself, shake your body down to the ground, state of shock"
onerepublic,0,0,0,0,1,6,"stop and stare, all the right moves, secrets, good life, counting stars, counting stars, love runs out"
mellow man ace,0,0,0,1,0,0,mentirosa
ja rule featuring case,0,0,0,0,2,0,"livin it up, livin it up"
vangelis,0,0,1,0,0,0,chariots of fire
high inergy,0,1,0,0,0,0,you cant turn me off in the middle of turning me on
regina,0,0,1,0,0,0,baby love
puff daddy featuring mase,0,0,0,1,0,0,cant nobody hold me down
the bellamy brothers,0,1,0,0,0,0,let your love flow
young jeezy featuring akon,0,0,0,0,2,0,"soul survivor, soul survivor"
warren g,0,0,0,2,0,0,"this dj, i shot the sheriff"
the cars,0,0,5,0,0,0,"shake it up, drive, you might think, magic, tonight she comes"
selena gomez  the scene,0,0,0,0,0,3,"naturally, who says, love you like a love song"
madonna,0,0,18,14,3,0,"borderline, lucky star, holiday, like a virgin, crazy for you, material girl, angel, dress you up, papa dont preach, live to tell, true blue, open your heart, whos that girl, causing a commotion, la isla bonita, like a prayer, express yourself, cherish, vogue, justify my love, this used to be my playground, deeper and deeper, rain, ill remember, secret, take a bow, secret, youll see, dont cry for me argentina, you must love me, frozen, ray of light, music, dont tell me, hung up"
peter and gordon,4,0,0,0,0,0,"i go to pieces, true love ways, lady godiva, woman"
enigma,0,0,0,2,0,0,"sadeness part i, return to innocence"
paula cole,0,0,0,2,0,0,"where have all the cowboys gone, i dont want to wait"
xscape,0,0,0,4,0,0,"just kickin it, understanding, just kickin it, the arms of the one who loves you"
house of pain,0,0,0,1,0,0,jump around
eric church,0,0,0,0,0,1,springsteen
the verve pipe,0,0,0,1,0,0,the freshmen
all saints,0,0,0,1,0,0,never ever
mocedades,0,1,0,0,0,0,eres tu
marvin gaye,5,4,1,0,0,0,"ill be doggone, how sweet it is to be loved by you, too busy thinking about my baby, thats the way love is, i heard it through the grapevine, whats going on, mercy mercy me the ecology, lets get it on, got to give it up, sexual healing"
young jeezy featuring r kelly,0,0,0,0,1,0,go getta
neil young,0,1,0,0,0,0,heart of gold
kanye west featuring dwele,0,0,0,0,1,0,flashing lights
stealers wheel,0,1,0,0,0,0,stuck in the middle with you
brenton wood,1,0,0,0,0,0,gimme little sign
peter cetera,0,0,2,0,0,0,"glory of love, one good woman"
the fray,0,0,0,0,5,0,"over my head cable car, how to save a life, how to save a life, you found me, never say never"
tony toni tone,0,0,0,2,0,0,"if i had no loot, anniversary"
george strait,0,0,0,1,2,0,"write this down, the best day, living and living well"
chris isaak,0,0,0,1,0,0,wicked game
chante moore,0,0,0,1,0,0,chantes got a man
s club 7,0,0,0,0,1,0,never had a dream come true
patti smith group,0,1,0,0,0,0,because the night
