,1960,1970,1980,1990,2000,2010,
mint condition,0,0,0,1,0,0,breakin my heart pretty brown eyes
10000 maniacs,0,0,0,1,0,0,because the night
dan fogelberg,0,0,3,0,0,0,"longer, same old lang syne, leader of the band"
the cuff links,1,0,0,0,0,0,tracy
miranda lambert,0,0,0,0,0,2,"the house that built me, mamas broken heart"
little river band,0,3,4,0,0,0,"reminiscing, lady, lonesome loser, cool change, take it easy on me, man on your mind, the other guy"
exile,0,1,0,0,0,0,kiss you all over
gabrielle,0,0,0,1,0,0,dreams
gary puckett  the union gap,5,0,0,0,0,0,"young girl, lady willpower, over you, woman woman, this girl is a woman now"
natasha bedingfield featuring sean kingston,0,0,0,0,1,0,love like this
mary j blige featuring ja rule,0,0,0,0,1,0,rainy dayz
falco,0,0,1,0,0,0,rock me amadeus
nickelback,0,0,0,0,11,0,"how you remind me, someday, photograph, photograph, savin me, far away, rockstar, if everyone cared, far away, gotta be somebody, if today was your last day"
zac brown band featuring jimmy buffett,0,0,0,0,0,1,knee deep
lamont dozier,0,1,0,0,0,0,trying to hold on to my woman
lou bega,0,0,0,1,0,0,mambo no 5
roger miller,1,0,0,0,0,0,king of the road
bobby womack,0,1,0,0,0,0,lookin for a love
fabolous featuring lil mo and mike shorey,0,0,0,0,1,0,cant let you go
ray j featuring yung berg,0,0,0,0,1,0,sexy can i
darius rucker,0,0,0,0,0,1,wagon wheel
taylor swift,0,0,0,0,7,12,"teardrops on my guitar, our song, teardrops on my guitar, love story, love story, you belong with me, white horse, mine, you belong with me, today was a fairytale, back to december, we are never ever getting back together, i knew you were trouble, 22, shake it off, blank space, shake it off, style, wildest dreams"
hanson,0,0,0,2,0,0,"mmmbop, i will come to you"
kyper,0,0,0,1,0,0,tictactoe
michael franti  spearhead featuring cherine anderson,0,0,0,0,1,0,say hey i love you
van halen,0,1,4,1,0,0,"dance the night away, oh pretty woman, jump, why cant this be love, when its love, cant stop lovin you"
lil wayne featuring drake,0,0,0,0,0,3,"right above it, she will, believe me"
joe south,1,1,0,0,0,0,"games people play, walk a mile in my shoes"
george duke  stanley clarke,0,0,1,0,0,0,sweet baby
shakira featuring wyclef jean,0,0,0,0,1,0,hips dont lie
jayz and linkin park,0,0,0,0,1,0,numbencore
jason mraz,0,0,0,0,3,1,"the remedy i wont worry, im yours, im yours, i wont give up"
the originals,1,1,0,0,0,0,"baby im for real, the bells"
miley cyrus,0,0,0,0,4,5,"see you again, 7 things, the climb, party in the usa, party in the usa, we cant stop, wrecking ball, wrecking ball, adore you"
the poppy family,0,1,0,0,0,0,which way you goin billy
kid rock featuring sheryl crow,0,0,0,0,1,0,picture
mystikal featuring nivea,0,0,0,0,1,0,danger been so long
hot,0,1,0,0,0,0,angel in your arms
tpain featuring akon,0,0,0,0,1,0,bartender
big sean featuring nicki minaj,0,0,0,0,0,1,dance a
outkast featuring killer mike,0,0,0,0,1,0,the whole world
b2k and p diddy,0,0,0,0,1,0,bump bump bump
calloway,0,0,0,1,0,0,i wanna be rich
bow wow featuring ciara,0,0,0,0,1,0,like you
ludacris featuring mystikal and i20,0,0,0,0,1,0,move bitch
minnie riperton,0,1,0,0,0,0,lovin you
gunit featuring joe,0,0,0,0,1,0,wanna get to know you
fat joe featuring ashanti,0,0,0,0,1,0,whats luv
nicki minaj,0,0,0,0,0,5,"your love, super bass, starships, pound the alarm, anaconda"
vanessa williams and brian mcknight,0,0,0,1,0,0,love is
katy perry featuring kanye west,0,0,0,0,0,1,et
simple minds,0,0,2,0,0,0,"dont you forget about me, alive and kicking"
barbra streisand  barry gibb,0,0,2,0,0,0,"guilty, what kind of fool"
shocking blue,0,1,0,0,0,0,venus
kenny chesney,0,0,0,1,4,2,"how forever feels, dont happen twice, the good stuff, no shoes no shirt no problems, i go back, come over, american kids"
the ad libs,1,0,0,0,0,0,the boy from new york city
jon b,0,0,0,2,0,0,"someone to love, they dont know"
erykah badu,0,0,0,1,1,0,"on  on, bag lady"
rachel platten,0,0,0,0,0,1,fight song
dmx,0,0,0,0,1,0,party up up in here
default,0,0,0,0,1,0,wasting my time
harold faltermeyer,0,0,1,0,0,0,axel f
the jets,0,0,5,0,0,0,"crush on you, you got it all, cross my broken heart, make it real, rocket 2 u"
wiz khalifa featuring charlie puth,0,0,0,0,0,1,see you again
erykah badu featuring common,0,0,0,0,1,0,love of my life an ode to hiphop
dionne warwick,5,2,2,0,0,0,"message to michael, alfie, theme from valley of the dolls, do you know the way to san jose, this girls in love with you, ill never fall in love again, ill never love this way again, dej`a vu, heartbreaker"
gallery,0,1,0,0,0,0,nice to be with you
arcadia,0,0,1,0,0,0,election day
emf,0,0,0,1,0,0,unbelievable
lfo,0,0,0,1,1,0,"summer girls, girl on tv"
allure featuring 112,0,0,0,2,0,0,"all cried out, all cried out"
elle king,0,0,0,0,0,1,exs  ohs
jennifer lopez,0,0,0,1,4,0,"if you had my love, waiting for tonight, love dont cost a thing, play, get right"
aqua,0,0,0,1,0,0,barbie girl
ice cube,0,0,0,1,0,0,it was a good day
silento,0,0,0,0,0,1,watch me
stacey q,0,0,1,0,0,0,two of hearts
sam the sham and the pharaohs,1,0,0,0,0,0,lil red riding hood
chris brown featuring tpain,0,0,0,0,2,0,"kiss kiss, kiss kiss"
the fireballs,1,0,0,0,0,0,bottle of wine
the searchers,1,0,0,0,0,0,love potion no 9
diana ross,0,5,6,0,0,0,"aint no mountain high enough, touch me in the morning, love hangover, theme from mahogany do you know where youre going to, the boss, upside down, its my turn, im coming out, why do fools fall in love, mirror mirror, missing you"
ludacris,0,0,0,0,5,1,"southern hospitality, rollout my business, splash waterfalls, get back, number one spot, how low"
quarterflash,0,0,2,0,0,0,"harden my heart, take me to heart"
merrilee rush,1,0,0,0,0,0,angel of the morning
shakira featuring alejandro sanz,0,0,0,0,1,0,la tortura
earth wind  fire  the emotions,0,1,0,0,0,0,boogie wonderland
the irish rovers,1,0,0,0,0,0,the unicorn
jason derulo,0,0,0,0,1,4,"whatcha say, dont wanna go home, the other side, trumpets, want to want me"
frank mills,0,1,0,0,0,0,music box dancer
adam clayton and larry mullen,0,0,0,1,0,0,theme from mission impossible
the dirt band,0,0,1,0,0,0,an american dream
lil kim featuring da brat left eye missy elliott and angie martinez,0,0,0,1,0,0,not tonight
sweet sensation,0,0,0,1,0,0,if wishes came true
gerry rafferty,0,1,0,0,0,0,baker street
the winstons,1,0,0,0,0,0,color him father
ashlee simpson,0,0,0,0,1,0,pieces of me
david houston,1,0,0,0,0,0,almost persuaded
walter murphy  the big apple band,0,1,0,0,0,0,a fifth of beethoven
sarah mclachlan,0,0,0,3,0,0,"building a mystery, adia, angel"
frida,0,0,1,0,0,0,i know theres something going on
bananarama,0,0,3,0,0,0,"cruel summer, venus, i heard a rumour"
mystikal,0,0,0,0,1,0,shake ya ass
b2k,0,0,0,0,1,0,uh huh
wayne fontana  the mindbenders,1,0,0,0,0,0,game of love
moody blues,0,0,1,0,0,0,your wildest dreams
nelly paul wall and ali  gipp,0,0,0,0,1,0,grillz
gym class heroes featuring adam levine,0,0,0,0,0,2,"stereo hearts, stereo hearts"
the soul survivors,1,0,0,0,0,0,expressway to your heart
paul young,0,0,1,1,0,0,"everytime you go away, oh girl"
usher and alicia keys,0,0,0,0,2,0,"my boo, my boo"
three 6 mafia,0,0,0,0,1,0,lolli lolli pop that body
eric burdon  war,0,1,0,0,0,0,spill the wine
macy gray,0,0,0,0,1,0,i try
procol harum,1,0,0,0,0,0,a whiter shade of pale
john waite,0,0,1,0,0,0,missing you
mariah carey and boyz ii men,0,0,0,1,0,0,one sweet day
depeche mode,0,0,0,1,0,0,enjoy the silence
colby odonis featuring akon,0,0,0,0,1,0,what you got
the esquires,1,0,0,0,0,0,get on up
londonbeat,0,0,0,1,0,0,ive been thinking about you
lauryn hill,0,0,0,2,0,0,"doo wop that thing, exfactor"
heatwave,0,3,0,0,0,0,"boogie nights, the groove line, always and forever"
the rolling stones,7,3,3,0,0,0,"i cant get no satisfaction, the last time, paint it black, 19th nervous breakdown, ruby tuesday, jumpin jack flash, honky tonk women, brown sugar, angie, miss you, emotional rescue, waiting on a friend, undercover of the night"
groove theory,0,0,0,2,0,0,"tell me, tell me"
ja rule featuring lil mo and vita,0,0,0,0,1,0,put it on me
the watts 103rd street rhythm band,1,0,0,0,0,0,do your thing
asia,0,0,2,0,0,0,"heat of the moment, dont cry"
daniel powter,0,0,0,0,1,0,bad day
domino,0,0,0,1,0,0,getto jam
dwight twilley band,0,1,0,0,0,0,im on fire
the ides of march,0,1,0,0,0,0,vehicle
bachmanturner overdrive,0,2,0,0,0,0,"takin care of business, you aint seen nothing yet"
the ojays,0,6,0,0,0,0,"back stabbers, love train, put your hands together, for the love of money, i love music, use ta be my girl"
rihanna featuring calvin harris,0,0,0,0,0,2,"we found love, we found love"
martin page,0,0,0,1,0,0,in the house of stone and light
jefferson starship,0,2,0,0,0,0,"with your love, count on me"
jose feliciano,1,0,0,0,0,0,light my fire
lee michaels,0,1,0,0,0,0,do you know what i mean
bobbi martin,0,1,0,0,0,0,for the love of him
david guetta featuring usher,0,0,0,0,0,2,"without you, without you"
steve holy,0,0,0,0,1,0,good morning beautiful
freak nasty,0,0,0,1,0,0,da dip
helen reddy,0,7,0,0,0,0,"i dont know how to love him, delta dawn, peaceful, you and me against the world, leave me alone ruby red dress, angie baby, youre my world"
puff daddy featuring the notorious big and mase,0,0,0,1,0,0,been around the world
jeremy jordan,0,0,0,1,0,0,the right kind of love
vertical horizon,0,0,0,0,1,0,everything you want
ti featuring rihanna,0,0,0,0,2,0,"live your life, live your life"
dave edmunds,0,1,0,0,0,0,i hear you knocking
cheap trick,0,1,2,0,0,0,"i want you to want me, the flame, dont be cruel"
randy vanwarmer,0,1,0,0,0,0,just when i needed you most
delaney  bonnie  friends,0,1,0,0,0,0,never ending song of love
van morrison,1,0,0,0,0,0,brown eyed girl
bob seger  the silver bullet band,0,4,1,0,0,0,"night moves, still the same, hollywood nights, weve got tonight, shame on the moon"
jonathan edwards,0,1,0,0,0,0,sunshine
snoop dogg,0,0,0,0,1,0,sexual eruption
robin thicke featuring ti and pharrell,0,0,0,0,0,1,blurred lines
whitney houston featuring cece winans,0,0,0,1,0,0,count on me
peter cetera and amy grant,0,0,1,0,0,0,the next time i fall
eurythmics,0,0,3,0,0,0,"sweet dreams are made of this, here comes the rain again, would i lie to you"
john travolta  olivia newtonjohn,0,2,0,0,0,0,"youre the one that i want, summer nights"
the cowsills,3,0,0,0,0,0,"the rain the park  other things, indian lake, hair"
public announcement,0,0,0,1,0,0,body bumpin yippieyiyo
gregory abbott,0,0,1,0,0,0,shake you down
brenda lee,2,0,0,0,0,0,"too many rivers, coming on strong"
force mds,0,0,1,0,0,0,tender love
sandy posey,2,0,0,0,0,0,"born a woman, i take it back"
timbaland featuring keri hilson,0,0,0,0,2,0,"the way i are, the way i are"
the killers,0,0,0,0,1,0,mr brightside
chris montez,1,0,0,0,0,0,the more i see you
jay  the techniques,1,0,0,0,0,0,apples peaches pumpkin pie
britney spears,0,0,0,2,10,4,"baby one more time, sometimes, oops i did it again, from the bottom of my broken heart, toxic, everytime, womanizer, piece of me, circus, womanizer, if u seek amy, 3, 3, till the world ends, i wanna go, hold it against me"
uncle kracker featuring dobie gray,0,0,0,0,1,0,drift away
jason aldean,0,0,0,0,1,4,"big green tractor, dirt road anthem, take a little ride, fly over states, burnin it down"
the staple singers,0,2,0,0,0,0,"ill take you there, lets do it again"
magic,0,0,0,0,0,1,rude
barbra streisand  donna summer,0,0,1,0,0,0,no more tears enough is enough
wilson phillips,0,0,0,4,0,0,"hold on, release me, youre in love, impulsive"
petey pablo,0,0,0,0,1,0,freekaleek
bj thomas,2,4,0,0,0,0,"im so lonesome i could cry, hooked on a feeling, raindrops keep fallin on my head, i just cant help believing, hey wont you play another somebody done somebody wrong song, dont worry baby"
motherlode,1,0,0,0,0,0,when i die
big pun featuring joe,0,0,0,1,0,0,still not a player
michael jackson,0,3,13,5,1,0,"ben, rockin robin, dont stop til you get enough, rock with you, shes out of my life, off the wall, billie jean, beat it, wanna be startin somethin, human nature, thriller, bad, man in the mirror, the way you make me feel, dirty diana, smooth criminal, black or white, remember the time, in the closet, will you be there, you are not alone, butterflies"
four tops,3,0,0,0,0,0,"i cant help myself sugar pie honey bunch, its the same old song, bernadette"
marvin hamlisch,0,1,0,0,0,0,the entertainer
lisa stansfield,0,0,0,1,0,0,all around the world
hootie  the blowfish,0,0,0,6,0,0,"hold my hand, let her cry, only wanna be with you, time, old man and me when i get to heaven, only wanna be with you"
savage garden,0,0,0,2,2,0,"i want you, truly madly deeply, i knew i loved you, crash and burn"
hot butter,0,1,0,0,0,0,popcorn
frank stallone,0,0,1,0,0,0,far from over
the game featuring lil wayne,0,0,0,0,1,0,my life
lee dorsey,1,0,0,0,0,0,working in the coal mine
eagles,0,5,3,0,0,0,"one of these nights, best of my love, take it to the limit, hotel california, new kid in town, heartache tonight, i cant tell you why, the long run"
dj snake and lil jon,0,0,0,0,0,1,turn down for what
bette midler,0,2,2,1,0,0,"boogie woogie bugle boy, do you wanna dance, the rose, wind beneath my wings, from a distance"
blues magoos,1,0,0,0,0,0,we aint got nothin yet
brad paisley,0,0,0,0,1,0,then
flo rida featuring william,0,0,0,0,1,0,in the ayer
michael martin murphey,0,1,0,0,0,0,wildfire
matchbox twenty,0,0,0,0,3,0,"bent, if youre gone, unwell"
simon  garfunkel,5,2,0,0,0,0,"i am a rock, the sound of silence, homeward bound, mrs robinson, scarborough faircanticle, bridge over troubled water, cecilia"
poison,0,0,2,2,0,0,"nothin but a good time, every rose has its thorn, unskinny bop, something to believe in"
r kelly featuring jayz,0,0,0,0,1,0,fiesta
3oh3 featuring keha,0,0,0,0,0,1,my first kiss
alessia cara,0,0,0,0,0,1,here
dream,0,0,0,0,1,0,he loves u not
bobby vinton,1,1,0,0,0,0,"please love me forever, sealed with a kiss"
dj snake and alunageorge,0,0,0,0,0,1,you know you like it
starbuck,0,1,0,0,0,0,moonlight feels right
matthews southern comfort,0,1,0,0,0,0,woodstock
london symphony orchestra,0,1,0,0,0,0,star wars main title
la bouche,0,0,0,2,0,0,"be my lover, sweet dreams"
bob lind,1,0,0,0,0,0,elusive butterfly
maria muldaur,0,1,0,0,0,0,midnight at the oasis
cornelius brothers  sister rose,0,2,0,0,0,0,"treat her like a lady, too late to turn back now"
chesney hawkes,0,0,0,1,0,0,the one and only
huey,0,0,0,0,1,0,pop lock  drop it
bonnie raitt,0,0,0,3,0,0,"something to talk about, i cant make you love me, love sneakin up on you"
voices of theory,0,0,0,1,0,0,say it
five man electrical band,0,1,0,0,0,0,signs
night ranger,0,0,3,0,0,0,"sister christian, when you close your eyes, sentimental street"
white lion,0,0,2,0,0,0,"wait, when the children cry"
tpain,0,0,0,0,2,0,"im sprung, im sprung"
hall  oates,0,3,4,0,0,0,"sara smile, shes gone, rich girl, wait for me, kiss on my list, you make my dreams, youve lost that lovin feelin"
nicolette larson,0,1,0,0,0,0,lotta love
bob featuring bruno mars,0,0,0,0,0,1,nothin on you
go west,0,0,0,2,0,0,"king of wishful thinking, faithful"
albert hammond,0,1,0,0,0,0,it never rains in southern california
blue magic,0,1,0,0,0,0,sideshow
sir douglas quintet,1,0,0,0,0,0,shes about a mover
winger,0,0,0,1,0,0,miles away
gina g,0,0,0,1,0,0,ooh aah just a little bit
frank  nancy sinatra,1,0,0,0,0,0,somethin stupid
marky mark and the funky bunch,0,0,0,1,0,0,wildside
freddy fender,0,2,0,0,0,0,"before the next teardrop falls, wasted days and wasted nights"
ludacris featuring pharrell,0,0,0,0,2,0,"money maker, money maker"
r city featuring adam levine,0,0,0,0,0,1,locked away
john legend,0,0,0,0,1,1,"ordinary people, all of me"
the archies,1,0,0,0,0,0,sugar sugar
emeli sande,0,0,0,0,0,1,next to me
keri hilson featuring lil wayne,0,0,0,0,1,0,turnin me on
katy perry,0,0,0,0,4,10,"i kissed a girl, hot n cold, hot n cold, waking up in vegas, teenage dream, firework, last friday night tgif, teenage dream, wide awake, part of me, the one that got away, roar, roar, birthday"
new york city,0,1,0,0,0,0,im doin fine now
christopher cross,0,0,6,0,0,0,"ride like the wind, sailing, arthurs theme best that you can do, arthurs theme best that you can do, all right, think of laura"
incubus,0,0,0,0,1,0,drive
dusty springfield,1,0,0,0,0,0,you dont have to say you love me
robert palmer,0,2,3,0,0,0,"every kinda people, bad case of loving you doctor doctor, addicted to love, i didnt mean to turn you on, simply irresistible"
the partridge family,0,2,0,0,0,0,"doesnt somebody want to be wanted, i woke up in love this morning"
becky g,0,0,0,0,0,1,shower
five stairsteps,0,1,0,0,0,0,ooh child
expose,0,0,5,1,0,0,"come go with me, let me be the one, point of no return, seasons change, what you dont know, ill never get over you getting over me"
jud strunk,0,1,0,0,0,0,daisy a day
stars on 45,0,0,1,0,0,0,stars on 45 medley
the lovin spoonful,3,0,0,0,0,0,"do you believe in magic, daydream, did you ever have to make up your mind"
westlife,0,0,0,0,1,0,swear it again
phil collins and marilyn martin,0,0,1,0,0,0,separate lives
taco,0,0,1,0,0,0,puttin on the ritz
raydio,0,2,1,0,0,0,"jack and jill, you cant change that, a woman needs love just like you do"
soul ii soul,0,0,1,0,0,0,keep on movin
dawn,0,1,0,0,0,0,candida
christie,0,1,0,0,0,0,yellow river
shakira,0,0,0,0,3,0,"whenever wherever, underneath your clothes, she wolf"
styx,0,3,5,1,0,0,"lady, come sail away, renegade, babe, the best of times, too much time on my hands, mr roboto, dont let it end, show me the way"
the veronicas,0,0,0,0,1,0,untouched
tyrone davis,1,1,0,0,0,0,"can i change my mind, turn back the hands of time"
michael bolton,0,0,0,10,0,0,"how am i supposed to live without you, how can we be lovers, when im back on my feet again, love is a wonderful thing, time love and tenderness, when a man loves a woman, missing you now, to love somebody, said i loved youbut i lied, go the distance"
craig mack,0,0,0,1,0,0,flava in ya ear
fetty wap featuring monty,0,0,0,0,0,1,my way
bryan adams,0,0,5,6,0,0,"straight from the heart, heaven, run to you, summer of 69, heat of the night, everything i do i do it for you, cant stop this thing we started, do i have to say the words, thought id died and gone to heaven, please forgive me, have you ever really loved a woman"
breakfast club,0,0,1,0,0,0,right on track
bill withers,0,3,0,0,0,0,"aint no sunshine, lean on me, use me"
darryl worley,0,0,0,0,1,0,have you forgotten
heart,0,1,6,1,0,0,"barracuda, tell it like it is, what about love, never, these dreams, alone, who will you run to, all i wanna do is make love to you"
georgie fame,1,0,0,0,0,0,the ballad of bonnie and clyde
demi lovato,0,0,0,0,0,3,"give your heart a break, heart attack, cool for the summer"
george michael and elton john,0,0,0,1,0,0,dont let the sun go down on me
gin blossoms,0,0,0,3,0,0,"hey jealousy, found out about you, follow you down  til i hear it from you"
ariana grande and the weeknd,0,0,0,0,0,1,love me harder
the human league,0,0,3,0,0,0,"dont you want me, keep feeling fascination, human"
florida georgia line featuring luke bryan,0,0,0,0,0,1,this is how we roll
donna lewis,0,0,0,2,0,0,"i love you always forever, i love you always forever"
fergie featuring william,0,0,0,0,1,0,fergalicious
the chilites,0,1,0,0,0,0,oh girl
dean friedman,0,1,0,0,0,0,ariel
mac davis,0,2,0,0,0,0,"baby dont get hooked on me, one hell of a woman"
mr big,0,0,0,2,0,0,"to be with you, just take my heart"
wayne wonder,0,0,0,0,1,0,no letting go
steve forbert,0,0,1,0,0,0,romeos tune
zac brown band,0,0,0,0,2,1,"chicken fried, whatever it is, colder weather"
mc hammer,0,0,0,2,0,0,"have you seen her, u cant touch this"
thompson square,0,0,0,0,0,1,are you gonna kiss me or not
neon trees,0,0,0,0,0,3,"animal, animal, everybody talks"
barry manilow,0,9,2,0,0,0,"mandy, could it be magic, i write the songs, tryin to get the feeling again, looks like we made it, weekend in new england, cant smile without you, copacabana, somewhere in the night, ships, i made it through the rain"
instant funk,0,1,0,0,0,0,i got my mind made up you can get it girl
mason williams,1,0,0,0,0,0,classical gas
prince and the new power generation,0,0,0,3,0,0,"cream, diamonds and pearls, 7"
sly fox,0,0,1,0,0,0,lets go all the way
edwin starr,1,1,0,0,0,0,"twentyfive miles, war"
bbmak,0,0,0,0,1,0,back here
edward bear,0,1,0,0,0,0,last song
badfinger,0,2,0,0,0,0,"come and get it, day after day"
willie mitchell,1,0,0,0,0,0,soul serenade
tony joe white,1,0,0,0,0,0,polk salad annie
montell jordan featuring master p and silkk the shocker,0,0,0,1,0,0,lets ride
the dramatics,0,2,0,0,0,0,"whatcha see is whatcha get, in the rain"
lipps inc,0,0,1,0,0,0,funkytown
silver,0,1,0,0,0,0,wham bam
patty duke,1,0,0,0,0,0,dont just stand there
chad brock,0,0,0,0,1,0,yes
paul revere  the raiders,4,1,0,0,0,0,"kicks, just like me, hungry, mr sun mr moon, indian reservation the lament of the cherokee reservation indian"
lil wayne featuring cory gunz,0,0,0,0,0,1,6 foot 7 foot
sean paul featuring sasha,0,0,0,0,1,0,im still in love with you
blackstreet featuring dr dre,0,0,0,2,0,0,"no diggity, no diggity"
carl thomas,0,0,0,0,1,0,i wish
black box,0,0,0,2,0,0,"everybody everybody, strike it up"
dem franchize boyz featuring jermaine dupri da brat and bow wow,0,0,0,0,1,0,i think they like me
the left banke,1,0,0,0,0,0,walk away renee
the system,0,0,1,0,0,0,dont disturb this groove
the weeknd,0,0,0,0,0,3,"earned it, the hills, cant feel my face"
jerry butler  brenda lee eager,0,1,0,0,0,0,aint understanding mellow
we five,1,0,0,0,0,0,you were on my mind
looking glass,0,1,0,0,0,0,brandy youre a fine girl
pitbull featuring tpain,0,0,0,0,0,1,hey baby drop it to the floor
janet jackson featuring blackstreet,0,0,0,1,0,0,i get lonely
erasure,0,0,0,1,0,0,always
montell jordan,0,0,0,2,1,0,"this is how we do it, whats on tonight, get it on tonite"
pras michel featuring ol dirty bastard and m'ya,0,0,0,1,0,0,ghetto supastar that is what you are
the yardbirds,3,0,0,0,0,0,"for your love, heart full of soul, shapes of things"
field mob,0,0,0,0,1,0,sick of being lonely
scorpions,0,0,0,1,0,0,wind of change
frank sinatra,1,0,0,0,0,0,strangers in the night
lisa loeb,0,0,0,1,0,0,i do
tq,0,0,0,1,0,0,westside
gwen stefani,0,0,0,0,3,0,"hollaback girl, cool, wind it up"
ludacris featuring nicki minaj,0,0,0,0,0,1,my chick bad
thomas dolby,0,0,1,0,0,0,she blinded me with science
backstreet boys,0,0,0,5,2,0,"quit playing games with my heart, everybody backstreets back, quit playing games with my heart, i want it that way, all i have to give, show me the meaning of being lonely, incomplete"
baby bash featuring akon,0,0,0,0,1,0,baby im back
tavares,0,2,0,0,0,0,"it only takes a minute, heaven must be missing an angel"
los del r'io,0,0,0,3,0,0,"macarena bayside boys mix, macarena, macarena bayside boys mix"
spandau ballet,0,0,1,0,0,0,TRUE
eminem,0,0,0,0,10,2,"the real slim shady, without me, cleanin out my closet, lose yourself, lose yourself, sing for the moment, superman, just lose it, mockingbird, when im gone, not afraid, berzerk"
jade,0,0,0,4,0,0,"i wanna love you, dont walk away, one woman, every day of the week"
chamillionaire featuring krayzie bone,0,0,0,0,1,0,ridin
mario,0,0,0,0,2,0,"just a friend 2002, let me love you"
katrina and the waves,0,0,1,0,0,0,walking on sunshine
jayz and alicia keys,0,0,0,0,1,1,"empire state of mind, empire state of mind"
the intruders,1,0,0,0,0,0,cowboys to girls
ricky nelson,0,1,0,0,0,0,garden party
sammy johns,0,1,0,0,0,0,chevy van
billy currington,0,0,0,0,1,0,people are crazy
crosby stills nash  young,0,1,0,0,0,0,woodstock
snoop dogg featuring r kelly,0,0,0,0,1,0,thats that
amy grant,0,0,0,5,0,0,"baby baby, every heartbeat, good for me, thats what love is for, i will remember you"
aha,0,0,1,0,0,0,take on me
johnny rivers,4,2,0,0,0,0,"the seventh son, poor side of town, secret agent man, baby i need your lovin, rockin pneumonia and the boogie woogie flu, swayin to the music slow dancing"
tag team,0,0,0,2,0,0,"whoomp there it is, whoomp there it is"
pussycat dolls featuring snoop dogg,0,0,0,0,1,0,buttons
joe cocker and jennifer warnes,0,0,1,0,0,0,up where we belong
ginuwine featuring baby,0,0,0,0,1,0,hell yeah
hugo montenegro,1,0,0,0,0,0,the good the bad and the ugly
ocean,0,1,0,0,0,0,put your hand in the hand
perry como,0,1,0,0,0,0,somos novios its impossible
ltd,0,1,0,0,0,0,every time i turn around back in love again
nicki minaj featuring drake,0,0,0,0,0,1,moment 4 life
jay sean featuring lil wayne,0,0,0,0,1,1,"down, down"
gym class heroes featuring patrick stump,0,0,0,0,1,0,cupids chokehold
dionne and friends dionne warwick gladys knight elton john and stevie wonder,0,0,1,0,0,0,thats what friends are for
imagine dragons,0,0,0,0,0,6,"its time, radioactive, its time, demons, demons, radioactive"
amerie,0,0,0,0,1,0,1 thing
nena,0,0,1,0,0,0,99 luftballons
tommy boyce  bobby hart,1,0,0,0,0,0,i wonder what shes doing tonight
five,0,0,0,1,0,0,when the lights go out
bob featuring hayley williams,0,0,0,0,0,1,airplanes
aaron hall,0,0,0,1,0,0,i miss you
mase featuring kelly price,0,0,0,1,0,0,feel so good
lorde,0,0,0,0,0,3,"royals, team, royals"
sammie,0,0,0,0,1,0,i like it
jesus jones,0,0,0,2,0,0,"right here right now, real real real"
keyshia cole,0,0,0,0,3,0,"love, i remember, heaven sent"
murray head  the trindad singers,0,1,0,0,0,0,superstar
aretha franklin and george michael,0,0,1,0,0,0,i knew you were waiting for me
macklemore and ryan lewis featuring wanz,0,0,0,0,0,1,thrift shop
eminem dr dre and 50 cent,0,0,0,0,1,0,crack a bottle
nazareth,0,1,0,0,0,0,love hurts
the carpenters,0,11,0,0,0,0,"they long to be close to you, weve only just begun, superstar, for all we know, rainy days and mondays, hurting each other, sing, yesterday once more, top of the world, please mr postman, only yesterday"
benny mardones,0,0,1,0,0,0,into the night
the fuzz,0,1,0,0,0,0,i love you for all seasons
checkmates ltd,1,0,0,0,0,0,black pearl
ohio express,1,0,0,0,0,0,yummy yummy yummy
the clash,0,0,1,0,0,0,rock the casbah
new boyz featuring the cataracs and dev,0,0,0,0,0,1,backseat
total,0,0,0,3,0,0,"kissin you, no one else, what about us"
gavin rossdale,0,0,0,0,1,0,love remains the same
eminem featuring rihanna,0,0,0,0,0,2,"love the way you lie, the monster"
panic at the disco,0,0,0,0,1,0,i write sins not tragedies
christina milian,0,0,0,0,1,0,dip it low
tom cochrane,0,0,0,1,0,0,life is a highway
scott mckenzie,1,0,0,0,0,0,san francisco be sure to wear flowers in your hair
kevon edmonds,0,0,0,0,1,0,247
tone loc,0,0,2,0,0,0,"wild thing, funky cold medina"
toto,0,1,4,0,0,0,"hold the line, rosanna, africa, i wont hold you back, ill be over you"
spin doctors,0,0,0,1,0,0,two princes
adam lambert,0,0,0,0,0,1,whataya want from me
ludacris featuring shawnna,0,0,0,0,2,0,"stand up, stand up"
avant,0,0,0,0,1,0,separated
neneh cherry,0,0,1,0,0,0,buffalo stance
tracey ullman,0,0,1,0,0,0,they dont know
selena gomez,0,0,0,0,0,2,"come  get it, the heart wants what it wants"
disclosure featuring sam smith,0,0,0,0,0,1,latch
donny and marie osmond,0,1,0,0,0,0,im leaving it up to you
deodato,0,1,0,0,0,0,also sprach zarathustra 2001
jennifer lopez featuring nas,0,0,0,0,1,0,im gonna be alright
samantha fox,0,0,3,0,0,0,"touch me i want your body, naughty girls need love too, i wanna have some fun"
john mellencamp featuring meshell ndegeocello,0,0,0,1,0,0,wild night
fleetwood mac,0,5,5,0,0,0,"say you love me, rhiannon, dreams, dont stop, go your own way, sara, tusk, hold me, little lies, big love"
jkwon,0,0,0,0,1,0,tipsy
luther vandross,0,0,0,2,0,0,"here and now, power of lovelove power"
the spencer davis group,1,0,0,0,0,0,gimme some lovin
jaheim,0,0,0,0,1,0,put that woman first
jessica andrews,0,0,0,0,1,0,who i am
